region,date,mean,median,lower_90,upper_90,lower_50,upper_50
GT,2020-04-26,1.218142869499372,1.1943690733357195,1.018579387106107,1.4306702429072267,1.068184700558594,1.2269694142651628
GT,2020-04-27,1.2205416429569644,1.197625773831433,0.9987407002505183,1.4255576971212536,1.088158214446302,1.246501278024075
GT,2020-04-28,1.2212032751003628,1.1958781374712983,1.0038844814463923,1.419616424893452,1.108218279273927,1.266328135520403
GT,2020-04-29,1.220700832135191,1.1938346491501175,1.0150917755000841,1.4307823420544812,1.063554251742098,1.2227226049343076
GT,2020-04-30,1.2200981735273868,1.1921211056271157,1.0355848169233017,1.433263212613623,1.0767835386577778,1.2297899736965525
GT,2020-05-01,1.222509125993532,1.193723362772961,1.0320423423027225,1.4352906660676568,1.084423177996529,1.229793863724053
GT,2020-05-02,1.2245039723858775,1.1963272785111876,1.0359473133135697,1.426890089113421,1.0910615896181204,1.2336729074035835
GT,2020-05-03,1.2259119464814254,1.1963622258398159,1.021895148539213,1.4220323674904625,1.0956500239630893,1.2456612847098198
GT,2020-05-04,1.2255597137670053,1.1941279001023763,1.0453912697354635,1.4457847218841697,1.0827376812558185,1.226471838297391
GT,2020-05-05,1.2231910400821466,1.1930919374406654,1.0306381237563431,1.4151474389737178,1.1014584853694382,1.2460483475623985
GT,2020-05-06,1.219681755577196,1.1905043801944595,1.045912169733105,1.422741479256011,1.0847596483561723,1.2224934961254341
GT,2020-05-07,1.2143511107140665,1.186004322803397,1.0204524110597282,1.4005078963549333,1.093835495013359,1.2333851333639567
GT,2020-05-08,1.2122587254729,1.188811013455723,1.0267004292768624,1.3851176447796432,1.0957079057948025,1.2340075951623195
GT,2020-05-09,1.207606695247678,1.1845669619601025,1.0227054259389896,1.3752950897996004,1.082581754828069,1.219414687456769
GT,2020-05-10,1.2013833143166002,1.181554189952156,1.0337791911428156,1.3865230180160348,1.0862418841126646,1.220817597143446
GT,2020-05-11,1.1941038464379783,1.1734564821993927,1.031967364363674,1.3691468836907323,1.0893528275531486,1.2164655082363307
GT,2020-05-12,1.1902065998889562,1.1664082780359823,1.0282576262208056,1.3704346993805667,1.0710252919430578,1.2006132257816549
GT,2020-05-13,1.1831485843833245,1.1599602983610617,1.0062988373014534,1.341183175866906,1.0721935741556858,1.1962411031376359
GT,2020-05-14,1.1794115100154352,1.1548186662976738,1.0049689957379866,1.3519152851933576,1.0605071210279131,1.186522087192348
GT,2020-05-15,1.1722984722768834,1.1509674232265148,1.0149288298299526,1.345261077774318,1.0659578539690358,1.1871848641102365
GT,2020-05-16,1.1665167450160474,1.1456803679352592,1.0225200318225487,1.350515265658671,1.0655525156727654,1.186863449643184
GT,2020-05-17,1.1576504735316309,1.140544760723306,1.0198689527680358,1.319752289633626,1.0515849963263475,1.1633867842059908
GT,2020-05-18,1.1457786793102733,1.1297383923596165,1.0046012104521593,1.3074462698080858,1.0489634902161913,1.1598581782620279
GT,2020-05-19,1.1313704302685414,1.1185364271609,0.975767059218949,1.2790634756917691,1.0611871480734434,1.1697408375480527
GT,2020-05-20,1.1199802541396522,1.10514912080509,0.9766772474548051,1.2841820767151053,1.0368407890604718,1.1430758496947766
GT,2020-05-21,1.1107458043392324,1.0974470001861953,0.9619805376780547,1.2672889005920287,1.0300157901315186,1.143269041215759
GT,2020-05-22,1.0990280017465548,1.0898579267056867,0.9448235150830946,1.252352157942695,1.0104725505898822,1.1259107666914288
GT,2020-05-23,1.0932225844321153,1.0870068237465476,0.9342924905627875,1.2464890073921746,1.0355078142608796,1.1520199621915406
GT,2020-05-24,1.0896121536218215,1.083943832840868,0.9311785409945238,1.240933127078112,1.0150980457271974,1.1244665742965836
GT,2020-05-25,1.0902625649099384,1.083485637507225,0.9348564410813897,1.2439991028502324,1.0243384539433071,1.1387143069114065
GT,2020-05-26,1.0916016423318216,1.0832944459119422,0.9504799256583968,1.255940886443473,1.0233127177840335,1.1353028581897187
GT,2020-05-27,1.0927576694716121,1.0844152021634264,0.9391375957259529,1.2467750378094056,1.019034747182349,1.1304505758217054
GT,2020-05-28,1.0955204686474664,1.0886949623467592,0.9294447332180361,1.2392839994296752,1.0375624455145995,1.1460356473095838
GT,2020-05-29,1.0948014173959106,1.0914118052916444,0.9595128079719939,1.269317871334391,1.0238361340239701,1.1305979799039365
GT,2020-05-30,1.0922676301340117,1.0847728623574562,0.9614057997445945,1.2771942524978845,1.0246367754808166,1.1371353419725494
GT,2020-05-31,1.0880358998069635,1.0843612011571047,0.929618406251132,1.2483842558524878,1.0084151989763916,1.1212011505913624
GT,2020-06-01,1.0875380827321537,1.0857374051052144,0.9251728940434824,1.2535434366050349,1.0078897751770668,1.1293966294197681
GT,2020-06-02,1.0862350619082979,1.0818211885607345,0.8967182211618394,1.2510371231155901,1.0042027382710759,1.1249238628952758
GT,2020-06-03,1.083604729546902,1.080161465489346,0.8806418978680035,1.2604087348628554,1.0105744670326444,1.1408516446587322
GT,2020-06-04,1.0806226664355079,1.0796725409474925,0.8813288168503292,1.290364342398438,1.028855258786249,1.1665404195177755
GT,2020-06-05,1.0791351644312106,1.0799874091421353,0.8246917722874197,1.2642143716645822,1.0092535666576403,1.1476867345787272
GT,2020-06-06,1.080897234631377,1.0812473781683698,0.8472897965725918,1.3080103186209804,1.0215210993991268,1.168158292820681
GT,2020-06-07,1.08178683559241,1.0809608367562693,0.8428954166396243,1.3329955602244072,1.0266456966601585,1.1776127353777195
HN,2020-04-20,1.2164202897384442,1.1789579319879153,0.9924835793181315,1.4780426233127921,1.0368276743079121,1.212776386802497
HN,2020-04-21,1.2137442469339728,1.1778614830426128,0.9905952864026263,1.4696228954532515,1.0403708844605406,1.2122348966978471
HN,2020-04-22,1.2094137391771846,1.1732661440403853,0.9849957462951776,1.4523891311988086,1.0320108800753018,1.2027466999431207
HN,2020-04-23,1.2056114850372992,1.1676240721087672,0.9898578764426158,1.454803547270019,1.0315293946823387,1.1971490564874223
HN,2020-04-24,1.2016208544705804,1.1646897886742222,0.9915936734950495,1.430643988993052,1.0437142802919448,1.2034288813183136
HN,2020-04-25,1.1990464562597434,1.1625447492266814,1.0002434285588298,1.4368656718778308,1.0389605545816107,1.1902810164818536
HN,2020-04-26,1.1931725311837884,1.1614490349481454,1.0009736909301163,1.4066456069547155,1.0228466907096119,1.1772324533378542
HN,2020-04-27,1.1866375037126322,1.155320572165457,0.996793995381723,1.4125030901458075,1.041340425585398,1.1914935598192862
HN,2020-04-28,1.1774453270090826,1.14625779491398,0.9859833561289936,1.3818722763268987,1.0333085514626563,1.1699294591586595
HN,2020-04-29,1.1669187968898547,1.1351108851680864,0.9709772158497363,1.3600120875630861,1.040639427225272,1.1788791238976342
HN,2020-04-30,1.1558138667915028,1.127175881025012,0.9674061827396485,1.3376597792486267,1.0346786900497904,1.164655407926386
HN,2020-05-01,1.1410295687439511,1.118607083427515,0.9628790215294084,1.3064777098315525,1.0389421290892502,1.1629606400211112
HN,2020-05-02,1.1287367295248667,1.1071935565356583,0.9800507047996345,1.3013123264196462,1.034571197799463,1.1523337236676103
HN,2020-05-03,1.1174187157126223,1.1003255818009867,0.9536001700771659,1.2748467909530374,1.0326869006081056,1.1482380813145288
HN,2020-05-04,1.1065033863196037,1.0886486636749488,0.9573947348527474,1.286895394074892,1.0212947778206607,1.128017644981088
HN,2020-05-05,1.0973342860394701,1.082295830913169,0.9158456366151297,1.2596398016227883,1.0161189138347255,1.1246907960228976
HN,2020-05-06,1.093341312829161,1.0789520790028049,0.9399910205268268,1.2582311904908008,1.0151202030061233,1.1259134409494174
HN,2020-05-07,1.0941084975459239,1.07748804802354,0.9422857377735518,1.2700498925547998,1.0028714897978623,1.1121387066921224
HN,2020-05-08,1.0994788812167586,1.0847105701027822,0.9366841342122801,1.2771333504962148,1.019370644917041,1.122453247649426
HN,2020-05-09,1.1011252235328621,1.0872697306885066,0.963010064864209,1.273245343315856,1.0207340429692993,1.1225745033941807
HN,2020-05-10,1.1022003502256064,1.0870988203933565,0.9611098470982933,1.2712561478183344,1.0199483790938006,1.1157796918061262
HN,2020-05-11,1.1045471952846633,1.0860682589463708,0.9334410252525187,1.2653575826261538,1.0218661993827196,1.1175046965605093
HN,2020-05-12,1.1056898543336058,1.0879290538175055,0.9437809643826575,1.2711191097326118,1.0159286171681237,1.112570125142852
